baseMean,log2FoldChange,lfcSE,pvalue,padj,gene
77.84005192565337,9.742779533697675,1.5523872761761408,2.4198535199587807e-21,1.2776826585382363e-18,HSPA1A
626.2588097432605,5.730586262083372,0.6884382988923329,8.961798780303128e-19,2.3659148780000256e-16,HSP90AA1
165.45771869936362,4.592749041965889,0.6662752001562549,4.640696874480999e-14,8.167626499086558e-12,HSPH1
87.1770911097834,3.219461989821019,0.5356010790731282,4.590699993751954e-11,6.059723991752579e-9,HSPD1
107.55066643977833,2.347681697759317,0.38724962388858436,6.202870544882342e-11,6.550231295395752e-9,PDE4D
12.480488557245552,-2.080024650995278,0.3526792388499265,4.369127696802945e-10,3.8448323731865916e-8,TENM1
31.835718984193473,4.245006434636678,0.8663172326391189,4.0327951312682996e-8,2.385690102441754e-6,ACTB
30.991173350609753,3.0789960842807553,0.6407203268012553,4.066517220071172e-8,2.385690102441754e-6,MKI67
25.329049756890587,1.4782886156093011,0.29400682676608186,3.982271598021117e-8,2.385690102441754e-6,TRAC
123.20359820814468,-1.5729808383189474,0.3250893403363246,1.5801680202687244e-7,8.343287147018865e-6,LINC02694
31.576065850492867,2.5290649962027945,0.5739829244227453,3.766487519704962e-7,1.8079140094583816e-5,ASPM
35.700284772575856,1.10090574087816,0.26523813161829046,3.867769948471759e-6,1.701818777327574e-4,RNF157
9.290441395683148,2.354705763897108,0.6286279228988281,1.4853351734944498e-5,5.601835511464782e-4,LAG3
65.39928849104557,1.0793916262802288,0.2835805531334291,1.420452426478051e-5,5.601835511464782e-4,BTBD11
162.98638753625798,-0.5156126284978368,0.13138875363928715,4.102056411777965e-5,0.0013065665179442072,ITK
11.330357572149763,1.4169172185555168,0.4163638450495653,3.7481521974694495e-5,0.0013065665179442072,CD7
72.27257672682165,-1.6743920655750564,0.47211196999705146,4.206748258532485e-5,0.0013065665179442072,MT-ND1
4.823289305928198,-3.6764087115301787,1.0001659917805996,4.749499722172583e-5,0.0013931865851706244,CEMIP
9.408169046514393,2.752831536370614,0.8609747455324166,5.428833891876235e-5,0.0015086443657424484,AREG
53.48515888665744,-0.9160345285150201,0.2543612888251021,6.421194225167733e-5,0.0016144716908993158,AC010609.1
72.40146481896474,-1.8648810030903198,0.5422993862704986,6.330078697066578e-5,0.0016144716908993158,AC013652.1
133.89155468290258,1.9551234016485175,0.6584629454222573,7.719926397102611e-5,0.0018527823353046268,B2M
11.556827195374334,1.3465846249158844,0.4111741567534067,9.233998434953206e-5,0.0021198048581109966,EOMES
58.36129656864721,-0.8825618350801603,0.25799114551598223,1.294761852194731e-4,0.002793396966879174,LEF1
262.6746979186424,0.41975789317266066,0.11348054246131387,1.322631139620821e-4,0.002793396966879174,PRKCB
40.63745099440956,1.4332362708494801,0.4899521522121618,1.5384741516488487e-4,0.003124285969502277,SNX25
5.088581073382388,2.2767348183610943,0.8728277845298831,1.807455583014898e-4,0.0035345798067846893,HIST1H2BJ
52.04268927962579,-0.8603432872016683,0.260222638122791,1.98307093459907e-4,0.0037395051909582464,LINC00299
50.13732543251941,-0.8871049045210931,0.2829354215771798,3.534519766765897e-4,0.006435263575353082,RNF125
18.919770849097215,1.6409602648404753,0.6853930261360567,5.874415057086871e-4,0.010338970500472893,GZMB
47.189236147734526,0.5190471402963978,0.16231385954744218,6.440364240675277e-4,0.010969394577666278,ZAP70
134.167563538926,-0.9381767413385524,0.32727561085500734,7.693606073753657e-4,0.012694450021693534,LINC01619
6.902161493267702,1.015831692115006,0.3796197876104483,8.794301884077517e-4,0.013266832556551224,FASLG
229.07398374169645,-0.4622483407862199,0.14696701847335428,8.604850779059943e-4,0.013266832556551224,CD96
4.658361060121929,-1.3319519853802115,0.5167051293809842,8.735124059221409e-4,0.013266832556551224,AL121935.1
28.118753646806468,-1.1894231923349425,0.4550480243838222,9.911519632000631e-4,0.014144006393773874,AC139720.1
40.99207471475892,1.1337208870218947,0.4591863087048235,9.843751484218753e-4,0.014144006393773874,PRF1
28.767778834224647,1.4573338297096974,0.6637279818943407,0.0010766326427764756,0.014686057432146281,RRM2
140.0540873867377,0.5642216748713598,0.18975726637616633,0.0010847656057835322,0.014686057432146281,NFATC2
161.27736270307028,-0.553950909543188,0.18556076586583595,0.00112221732661293,0.014813268711290677,LINC01934
12.390628057297615,1.3206862566940567,0.6508263709976373,0.0015940903079692803,0.02052877274653122,LINC02446
18.043929295251843,1.078810603924281,0.49414926352307187,0.002622029548570819,0.032221398914977835,DUSP2
70.63353819724416,-0.7889890404892141,0.31212947574270067,0.00262409119951524,0.032221398914977835,MYBL1
476.44274105906004,0.6082921464996612,0.23844551496026878,0.0030427793253153626,0.03651335190378435,PDE3B
7.281349325338763,-0.8739820441454279,0.3766323860329904,0.0031497705671302747,0.036957307987661885,CD40LG
52.63550864462745,-0.8884255133740652,0.3752486344619206,0.003226834216296893,0.03703844491749477,TTN
195.79370850118528,-0.609633704262339,0.23451264164424096,0.0033457374080457136,0.037586156413790144,AC079793.1
14.282469907145414,-1.0349848753231736,0.4553988742645053,0.0034484929113018613,0.03793342202432047,AC009505.1
11.002260785234391,-1.103660650767316,0.5075457495810899,0.0036037093164103784,0.038831806511524077,MYH11
1.5969267062343533,0.39388700792841297,0.7358610817998401,0.0038769669711846083,0.040940771215709465,VIPR1
14.705506773473198,0.894761284728537,0.4182106233272979,0.00439291922650348,0.04547963434497721,CD8A
662.2071557914996,-0.32859702602539176,0.12057311927119263,0.004505237558888807,0.04574548905948635,ARHGAP15
186.46818474393385,0.5918415317117167,0.24586982085804254,0.004966369996930974,0.04947628978074631,ARHGAP26
263.82223248686046,-0.4323662553145609,0.1669695270380164,0.005280872207495581,0.05163519491773458,RIPOR2
5.773276672415002,1.2147688684903153,0.8046891947406397,0.0062144603277710245,0.05859348309041252,IFNG
17.8188946836586,-0.7627045215335335,0.34683191751096093,0.006205061399581472,0.05859348309041252,GNAO1
87.76096932246257,0.9778703920973183,0.6086219697760641,0.007081501155182128,0.06420805013639322,GNLY
2.1471176641419873,-1.37935735272292,0.7617328487264575,0.007021593581716499,0.06420805013639322,LINC01891
5.916906040087212,0.8791315067461231,0.4660382696181799,0.007174763178119697,0.06420805013639322,NTNG2
31.750352774436845,-0.4754352351131169,0.1978204304099563,0.007320312251992947,0.06441874781753794,TESPA1
